City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Leningradskiy,RU,2022-08-16 17:12:48,69.3833,178.4167,31.21,88,13,6.11
94,Daoukro,CI,2022-08-16 17:12:48,7.0591,-3.9631,77.22,78,99,5.32
95,Labuhan,ID,2022-08-16 17:12:48,-6.8844,112.2051,77.7,85,56,7.0
96,Tomatlan,MX,2022-08-16 17:12:49,19.9333,-105.25,88.29,55,100,3.36
97,Ponta Do Sol,PT,2022-08-16 17:12:49,32.6667,-17.1,79.72,74,34,2.59
98,Carnarvon,AU,2022-08-16 17:11:11,-24.8667,113.6333,65.37,58,69,14.45
99,Puerto Del Rosario,ES,2022-08-16 17:12:51,28.5004,-13.8627,78.55,73,40,17.27
100,Dera Bugti,PK,2022-08-16 17:12:52,29.0307,69.151,86.23,65,39,5.44
101,Albany,US,2022-08-16 17:09:16,42.6001,-73.9662,84.63,41,93,5.03
102,Nuuk,GL,2022-08-16 17:12:53,64.1835,-51.7216,41.61,93,75,5.75
103,Longyearbyen,SJ,2022-08-16 17:12:54,78.2186,15.6401,40.84,81,75,17.27
104,Bredasdorp,ZA,2022-08-16 17:12:54,-34.5322,20.0403,51.26,83,82,6.6
105,Mansa,IN,2022-08-16 17:12:55,29.9833,75.3833,82.94,73,88,11.68
106,Shingu,JP,2022-08-16 17:12:55,33.7333,135.9833,81.12,83,100,7.7
107,Pathein,MM,2022-08-16 17:08:10,16.7833,94.7333,79.02,89,100,10.11
108,Atasu,KZ,2022-08-16 17:12:56,48.6814,71.6433,62.33,38,1,12.19
109,Isangel,VU,2022-08-16 17:12:56,-19.55,169.2667,77.41,88,99,13.31
110,Banda Aceh,ID,2022-08-16 17:12:57,5.5577,95.3222,80.22,78,82,10.87
111,Bluff,NZ,2022-08-16 17:12:57,-46.6,168.3333,48.49,92,100,4.7
112,Westport,US,2022-08-16 17:12:43,41.1415,-73.3579,84.61,48,0,8.05
113,Itoman,JP,2022-08-16 17:12:58,26.1247,127.6694,84.22,84,4,8.05
114,Vila Velha,BR,2022-08-16 17:12:58,-20.3297,-40.2925,84.15,62,20,16.11
115,Dayong,CN,2022-08-16 17:12:59,25.0209,118.2898,79.14,85,41,3.09
116,Wasilla,US,2022-08-16 17:12:59,61.5814,-149.4394,52.48,87,100,6.91
117,Lulea,SE,2022-08-16 17:13:00,65.5842,22.1547,71.67,78,0,9.22
118,Souillac,MU,2022-08-16 17:13:01,-20.5167,57.5167,70.75,78,66,8.3
119,La Seyne-Sur-Mer,FR,2022-08-16 17:13:01,43.0982,5.8847,84.15,68,1,4.0
120,Waingapu,ID,2022-08-16 17:13:01,-9.6567,120.2641,73.83,83,44,7.56
121,Maputo,MZ,2022-08-16 17:13:02,-25.9653,32.5892,67.68,73,0,11.5
122,Los Llanos De Aridane,ES,2022-08-16 17:13:02,28.6585,-17.9182,75.13,79,20,16.11
123,Tiksi,RU,2022-08-16 17:13:03,71.6872,128.8694,45.32,89,31,8.43
124,Kamina,CD,2022-08-16 17:13:04,-8.7386,24.9906,75.25,18,6,2.93
125,Saint-Augustin,CA,2022-08-16 17:13:04,51.226,-58.6502,76.82,32,8,4.21
126,Kozhva,RU,2022-08-16 17:13:05,65.1073,57.0459,46.02,75,67,5.32
127,Ulladulla,AU,2022-08-16 17:13:05,-35.35,150.4667,48.13,75,60,4.88
128,Touros,BR,2022-08-16 17:13:06,-5.1989,-35.4608,82.36,55,11,19.75
129,Omaha,US,2022-08-16 17:11:32,41.2586,-95.9378,71.98,85,100,11.5
130,Dikson,RU,2022-08-16 17:13:07,73.5069,80.5464,41.22,87,100,24.09
131,Fayaoue,NC,2022-08-16 17:13:07,-20.65,166.5333,77.27,85,98,21.07
132,Mezen,RU,2022-08-16 17:13:08,65.8522,44.24,58.89,86,62,6.15
133,Kruisfontein,ZA,2022-08-16 17:13:09,-34.0033,24.7314,58.89,60,100,5.5
134,Abu Kamal,SY,2022-08-16 17:13:10,34.4506,40.9171,94.77,15,0,9.95
135,Sora,IT,2022-08-16 17:13:10,41.7157,13.6141,85.59,69,32,2.37
136,Lavrentiya,RU,2022-08-16 17:13:11,65.5833,-171.0,38.19,78,76,8.55
137,Hasaki,JP,2022-08-16 17:13:12,35.7333,140.8333,82.8,81,100,10.96
138,Lompoc,US,2022-08-16 17:13:13,34.6391,-120.4579,72.84,77,0,3.44
139,Camacha,PT,2022-08-16 17:13:13,33.0833,-16.3333,72.82,73,40,14.97
140,Tari,NG,2022-08-16 17:13:15,12.4086,4.4914,78.94,79,95,10.45
141,Byron Bay,AU,2022-08-16 17:09:15,-28.65,153.6167,47.71,89,41,11.34
142,Aurillac,FR,2022-08-16 17:13:15,44.9167,2.45,67.08,83,100,4.61
143,Araouane,ML,2022-08-16 17:13:16,18.9048,-3.5265,100.56,23,54,2.95
144,Santa Helena De Goias,BR,2022-08-16 17:13:16,-17.8136,-50.5969,92.19,18,15,8.08
145,Saskylakh,RU,2022-08-16 17:13:18,71.9167,114.0833,46.09,93,100,6.46
146,Mossendjo,CG,2022-08-16 17:13:18,-2.9506,12.7261,85.84,35,44,5.82
147,Messina,IT,2022-08-16 17:13:19,38.1933,15.5497,91.2,47,3,10.36
148,Pevek,RU,2022-08-16 17:13:19,69.7008,170.3133,38.84,68,41,8.84
149,Alta Floresta,BR,2022-08-16 17:13:20,-9.8756,-56.0861,94.48,30,58,4.76
150,Mocuba,MZ,2022-08-16 17:13:20,-16.8392,36.9856,68.88,87,60,7.54
151,Evensk,RU,2022-08-16 17:13:21,61.95,159.2333,52.52,94,100,15.73
152,Victoria,HK,2022-08-16 17:11:35,22.2855,114.1577,86.18,86,3,10.0
153,Maragogi,BR,2022-08-16 17:13:22,-9.0122,-35.2225,78.82,61,16,11.9
154,Olinda,BR,2022-08-16 17:13:22,-8.0089,-34.8553,82.13,54,40,13.8
155,Herat,AF,2022-08-16 17:13:23,34.5,62.0,83.12,16,0,31.92
156,Quelimane,MZ,2022-08-16 17:13:23,-17.8786,36.8883,70.52,79,91,8.01
157,Khatanga,RU,2022-08-16 17:13:23,71.9667,102.5,41.0,92,1,9.28
158,Plakhtiyivka,UA,2022-08-16 17:10:18,46.1006,29.7217,77.25,62,68,11.72
159,Meulaboh,ID,2022-08-16 17:13:24,4.1363,96.1285,77.81,85,100,2.66
160,Guerrero Negro,MX,2022-08-16 17:13:25,27.9769,-114.0611,79.65,56,41,4.7
161,Rio Gallegos,AR,2022-08-16 17:10:30,-51.6226,-69.2181,41.05,56,0,25.32
162,Markova,UA,2022-08-16 17:13:25,48.6758,24.4138,65.34,87,93,3.47
163,La Macarena,CO,2022-08-16 17:13:26,2.1837,-73.7849,89.91,47,9,4.27
164,Eyl,SO,2022-08-16 17:13:26,7.9803,49.8164,78.28,76,99,22.66
165,Karratha,AU,2022-08-16 17:13:27,-20.7377,116.8463,72.73,81,3,6.85
166,La Asuncion,VE,2022-08-16 17:13:27,11.0333,-63.8628,84.34,71,0,14.34
167,Puerto Escondido,MX,2022-08-16 17:13:29,15.85,-97.0667,85.03,65,75,8.05
168,Prince Rupert,CA,2022-08-16 17:10:08,54.3161,-130.3201,60.12,90,100,3.4
169,Acapulco,MX,2022-08-16 17:13:30,16.8634,-99.8901,87.62,58,75,5.75
