City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
65,Ketchikan,US,72.07,clear sky,55.3422,-131.6461,Snow's Cove Lodge
69,Albany,US,76.39,scattered clouds,42.6001,-73.9662,
70,Sinnamary,GF,77.09,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
74,Kruisfontein,ZA,68.4,few clouds,-34.0033,24.7314,Oyster Bay House Rental
76,Fairbanks,US,65.23,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
77,Poum,NC,74.52,clear sky,-20.2333,164.0167,
80,Sao Filipe,CV,77.68,overcast clouds,14.8961,-24.4956,Hotel Xaguate
81,Vaini,TO,74.44,few clouds,-21.2,-175.2,Keleti Beach Resort
83,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
84,Thinadhoo,MV,81.19,overcast clouds,0.5333,72.9333,
86,Tura,IN,73.2,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
89,Elko,US,86.23,broken clouds,41.0002,-115.5012,
90,Escalerillas,MX,76.87,scattered clouds,22.1333,-101.0667,Hilton San Luis Potosi
91,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Pirineos
92,Mindelo,CV,77.76,broken clouds,16.8901,-24.9804,Hotel Gaudi
93,Bima,ID,79.45,overcast clouds,-8.4667,118.7167,Lambitu Hotel
94,Tula,RU,65.59,few clouds,54.2044,37.6111,София
97,Hithadhoo,MV,81.07,overcast clouds,-0.6,73.0833,Scoop Guest House
98,Najran,SA,83.28,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
99,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
100,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
102,Sakaiminato,JP,80.53,broken clouds,35.55,133.2333,Italian pasley
103,Corsicana,US,85.15,overcast clouds,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
108,Belmonte,BR,70.52,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
113,Cruzeiro Do Sul,BR,68.07,few clouds,-29.5128,-51.9853,Estrela Palace Hotel
115,Lazaro Cardenas,MX,84.67,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
117,Beaverlodge,CA,83.55,clear sky,55.2166,-119.4361,Side Trax Inn
119,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
122,Guerrero Negro,MX,80.49,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
124,Tokmak,UA,76.01,clear sky,47.2514,35.7058,Дом приезжих
125,Vao,NC,72.3,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
126,Narva-Joesuu,EE,65.17,overcast clouds,59.4589,28.0408,Narva-Jõesuu SPA & Sanatoorium
128,Maragogi,BR,71.46,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
129,High Rock,BS,84.22,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
130,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
131,East London,ZA,76.42,clear sky,-33.0153,27.9116,Tu Casa
133,Wageningen,NL,72.1,broken clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
135,Faanui,PF,76.05,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
137,Marawi,PH,74.25,overcast clouds,7.9986,124.2928,Derogongan Residence
140,Kupang,ID,79.9,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
141,Sabha,LY,87.37,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
142,Fortuna,US,66.09,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
143,Shimoda,JP,77.36,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
145,Nguruka,TZ,67.21,clear sky,-5.1092,31.0419,RUSULI LODGE
146,Ramachandrapuram,IN,78.78,overcast clouds,16.85,82.0167,RR Grand Lodge
147,Yen Bai,VN,79.95,overcast clouds,21.7,104.8667,AK MOTEL
149,La Rioja,ES,65.98,broken clouds,42.25,-2.5,Casa Concejos
151,Norman Wells,CA,69.84,smoke,65.282,-126.8329,Heritage Hotel
156,Lewistown,US,77.74,few clouds,40.5992,-77.5714,Quality Inn & Suites
157,Varhaug,NO,70.48,broken clouds,58.6147,5.6457,Jonas Bue
158,Port Blair,IN,77.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
160,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
163,Lanxi,CN,84.87,scattered clouds,29.2195,119.477,Shangri-La Hotel
165,Santa Fe,AR,73.02,clear sky,-31.6333,-60.7,Conquistador Hotel
166,Naze,JP,85.12,overcast clouds,28.3667,129.4833,Shishime Hotel
167,Karratha,AU,66.18,clear sky,-20.7377,116.8463,ibis Styles Karratha
168,Maraba,BR,80.78,clear sky,-5.3686,-49.1178,Hotel Del Principe
169,Saint-Pierre,RE,67.68,broken clouds,-21.3393,55.4781,Alize Plage
172,Dingle,PH,81.59,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
175,Los Llanos De Aridane,ES,69.55,overcast clouds,28.6585,-17.9182,Valle Aridane
178,Akyab,MM,78.69,clear sky,20.15,92.9,ဟိုတယ် မန်မိုရီ
180,Faya,SA,66.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
181,Simmerath,DE,67.82,clear sky,50.6,6.3,Erlebnislokal
183,Hobyo,SO,76.93,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
184,Rabo De Peixe,PT,70.29,few clouds,37.8,-25.5833,Quinta das Giestas
186,Nangong,CN,73.24,overcast clouds,37.3581,115.3744,7Days Inn Xingtai South Yucai Road
190,Carauari,BR,78.49,few clouds,-4.8828,-66.8958,Hotel Fellip
198,Kasongo-Lunda,CD,72.57,scattered clouds,-6.4667,16.8167,
199,Bani,DO,82.85,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
200,Katsuura,JP,78.82,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
203,Mayo,US,84.18,clear sky,38.8876,-76.5119,Resorts Resource Group International
205,Sanary-Sur-Mer,FR,74.88,clear sky,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
207,Sinyavino,RU,73.06,light rain,59.9078,31.0711,Petrovskaya
211,Alyangula,AU,71.26,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
212,Matay,EG,84.29,clear sky,28.419,30.7792,Nag Aespen
213,Hambantota,LK,78.21,broken clouds,6.1241,81.1185,Bungalow 63
214,Qandala,SO,86.85,clear sky,11.472,49.8728,
216,Kristiansund,NO,70.45,light rain,63.1115,7.732,Thon Hotels Storgata
219,Mae Sai,TH,74.14,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
220,Kiunga,PG,73.94,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
221,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
223,Soe,ID,68.83,overcast clouds,-9.8607,124.284,Dena Hotel
224,Harper,LR,75.92,broken clouds,4.375,-7.7169,Screensaver
225,Vila Velha,BR,71.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
226,Broome,US,73.78,clear sky,42.2506,-75.833,Chenango Valley State Park
227,Puerto Leguizamo,CO,73.99,overcast clouds,-0.1934,-74.7819,la casona de juancho
228,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
229,Bud,US,80.91,clear sky,39.447,-86.1758,Ted McQuinn Trust
231,Port Moresby,PG,81.82,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
234,Makat,KZ,73.69,clear sky,47.6469,53.3463,Umit
235,Halifax,CA,69.69,broken clouds,44.6453,-63.5724,Hotel Halifax
236,Cordoba,AR,71.76,clear sky,-31.4135,-64.1811,Hotel Sussex
239,Jieshi,CN,81.81,few clouds,22.8134,115.8257,Yuehai Hotel
241,Sur,OM,85.95,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
243,Inhambane,MZ,65.34,clear sky,-23.865,35.3833,Oceano
244,Campo Bom,BR,69.26,clear sky,-29.6789,-51.0533,Hotel Suárez Campo Bom
245,Yecla,ES,71.37,few clouds,38.6137,-1.1147,Hotel Avenida
247,Sambava,MG,66.0,light rain,-14.2667,50.1667,Melrose
249,Shelburne,CA,70.59,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
250,Jiuquan,CN,67.64,broken clouds,39.7432,98.5174,Jiuquan Hotel
