City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lebu,CL,2022-08-25 00:10:24,-37.6167,-73.65,46.87,78,22,17.9,few clouds
80,Sao Filipe,CV,2022-08-25 00:17:15,14.8961,-24.4956,77.68,79,99,6.42,overcast clouds
81,Vaini,TO,2022-08-25 00:11:02,-21.2,-175.2,74.44,76,21,12.64,few clouds
82,Talnakh,RU,2022-08-25 00:11:45,69.4865,88.3972,47.21,82,58,1.54,broken clouds
83,Georgetown,MY,2022-08-25 00:15:00,5.4112,100.3354,79.9,91,20,2.3,few clouds
84,Thinadhoo,MV,2022-08-25 00:17:17,0.5333,72.9333,81.19,74,100,6.53,overcast clouds
85,Douglas,US,2022-08-25 00:17:17,41.3,-96.167,90.86,48,0,4.61,clear sky
86,Tura,IN,2022-08-25 00:17:18,25.5198,90.2201,73.2,93,48,5.1,scattered clouds
87,Esperance,AU,2022-08-25 00:16:33,-33.8667,121.9,51.13,71,100,11.79,overcast clouds
88,Turukhansk,RU,2022-08-25 00:17:18,65.8167,87.9833,56.77,97,100,9.51,light rain
89,Elko,US,2022-08-25 00:15:48,41.0002,-115.5012,86.23,28,60,20.0,broken clouds
90,Escalerillas,MX,2022-08-25 00:17:19,22.1333,-101.0667,76.87,25,40,10.36,scattered clouds
91,San Cristobal,VE,2022-08-25 00:17:20,7.7669,-72.225,77.18,93,30,3.44,scattered clouds
92,Mindelo,CV,2022-08-25 00:14:51,16.8901,-24.9804,77.76,82,69,10.2,broken clouds
93,Bima,ID,2022-08-25 00:17:20,-8.4667,118.7167,79.45,76,99,5.26,overcast clouds
94,Tula,RU,2022-08-25 00:17:21,54.2044,37.6111,65.59,47,21,5.7,few clouds
95,Maxixe,MZ,2022-08-25 00:17:21,-23.8597,35.3472,64.04,88,0,4.38,clear sky
96,Verkhnevilyuysk,RU,2022-08-25 00:17:22,63.4453,120.3167,49.28,77,75,5.17,broken clouds
97,Hithadhoo,MV,2022-08-25 00:15:20,-0.6,73.0833,81.07,74,99,5.82,overcast clouds
98,Najran,SA,2022-08-25 00:11:05,17.4924,44.1277,83.28,25,100,4.7,overcast clouds
99,Oistins,BB,2022-08-25 00:14:18,13.0667,-59.5333,80.69,89,75,18.41,broken clouds
100,Saint-Philippe,RE,2022-08-25 00:17:24,-21.3585,55.7679,67.59,75,35,11.63,scattered clouds
101,Thompson,CA,2022-08-25 00:10:37,55.7435,-97.8558,56.08,46,79,7.31,broken clouds
102,Sakaiminato,JP,2022-08-25 00:17:24,35.55,133.2333,80.53,89,75,11.5,broken clouds
103,Corsicana,US,2022-08-25 00:15:13,32.0954,-96.4689,85.15,64,100,3.0,overcast clouds
